libdconf1:amd64	0.49.0-4	amd64
libdebconfclient0:amd64	0.280ubuntu1	amd64
libdebuginfod-common	0.194-4	all
libdebuginfod1t64:amd64	0.194-4	amd64
libdecor-0-0:amd64	0.2.5-1	amd64
libdecor-0-plugin-1-gtk:amd64	0.2.5-1	amd64
libdeflate0:amd64	1.23-2ubuntu1	amd64
libdevmapper-event1.02.1:amd64	2:1.02.205-2ubuntu3	amd64
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3	amd64
libdisplay-info3:amd64	0.3.0-1	amd64
libdouble-conversion3:amd64	3.4.0-1	amd64
libdpkg-perl	1.23.7ubuntu1	all
libdrm-amdgpu1:amd64	2.4.131-1	amd64
libdrm-common	2.4.131-1	all
libdrm-intel1:amd64	2.4.131-1	amd64
libdrm-nouveau2:amd64	2.4.131-1	amd64
libdrm-radeon1:amd64	2.4.131-1	amd64
libdrm2:amd64	2.4.131-1	amd64
libduktape207:amd64	2.7.0+tests-0ubuntu4	amd64
libdvbpsi10:amd64	1.3.3-1build2	amd64
libdvdnav4:amd64	7.0.0-2	amd64
libdvdread8t64:amd64	7.0.1-1	amd64
libdw1t64:amd64	0.194-4	amd64
libeatmydata1:amd64	131-2build1	amd64
libebml5:amd64	1.4.5-2	amd64
libedit2:amd64	3.1-20251016-1	amd64
libefiboot1t64:amd64	39-2	amd64
libefivar1t64:amd64	39-2	amd64
libegl-mesa0:amd64	26.0.3-1ubuntu1	amd64
libegl1:amd64	1.7.0-3	amd64
libelf1t64:amd64	0.194-4	amd64
libencode-locale-perl	1.05-3	all
libepoxy0:amd64	1.5.10-2build1	amd64
liberror-perl	0.17030-1	all
libevdev2:amd64	1.13.6+dfsg-1	amd64
libevemu3t64:amd64	2.7.0-4build2	amd64
libexpat1-dev:amd64	2.7.4-1	amd64
libexpat1:amd64	2.7.4-1	amd64
libext2fs2t64:amd64	1.47.2-3ubuntu4	amd64
libfaad2:amd64	2.11.2-1build1	amd64
libfakeroot:amd64	1.37.2-1	amd64
libfdisk1:amd64	2.41.3-3ubuntu2	amd64
libffi8:amd64	3.5.2-4	amd64
libfftw3-double3:amd64	3.3.10-2fakesync1build3	amd64
libfftw3-single3:amd64	3.3.10-2fakesync1build3	amd64
libfido2-1:amd64	1.16.0-2build1	amd64
libfile-basedir-perl	0.09-2	all
libfile-desktopentry-perl	0.23-1	all
